wo_number,equipment_id,equipment_type,wo_type,status,created_date,scheduled_date,completed_date,assigned_technician,downtime_hours,labor_hours,part_number,priority,description
WO-24297,CP-087,Centrifugal Pump,Preventive,Completed,2025-12-23,2025-12-24,2025-12-27,Jennifer Lee,0.0,1.7,,Medium,Quarterly PM - filters and oil change
WO-24535,ST-083,Storage Tank,Corrective,Completed,2025-12-23,2025-12-27,2025-12-29,James Wilson,17.1,23.6,,Critical,Replace mechanical seal - excessive leaking
WO-24140,HS-012,HVAC System,Corrective,Completed,2025-12-23,2025-12-25,2025-12-26,Emily Davis,11.9,17.3,IMP-256,High,Pressure relief valve replacement
WO-24851,CB-079,Conveyor Belt,Corrective,Completed,2025-12-22,2025-12-25,2025-12-27,Lisa Anderson,14.9,22.6,COI-377,High,Main drive bearing failure - emergency repair
WO-24903,F-095,Forklift,Corrective,Completed,2025-12-22,2025-12-27,2025-12-28,James Wilson,9.6,15.7,COM-111,Medium,Replace mechanical seal - excessive leaking
WO-24916,C-052,Crane,Preventive,Completed,2025-12-22,2025-12-26,2025-12-26,John Martinez,0.0,2.3,THE-516,Medium,Quarterly maintenance cycle
WO-24978,HS-071,HVAC System,Corrective,Completed,2025-12-22,2025-12-24,2025-12-26,Sarah Chen,10.6,16.8,,High,Main drive bearing failure - emergency repair
WO-24578,CT-082,Cooling Tower,Preventive,Open,2025-12-22,2025-12-23,,Robert Johnson,0.0,,,Low,Monthly filter replacement
WO-25544,HP-085,Hydraulic Pump,Preventive,Completed,2025-12-22,2025-12-24,2025-12-27,John Martinez,0.0,2.8,,High,Weekly lubrication and inspection
WO-24764,RA-093,Robotic Arm,Preventive,Cancelled,2025-12-22,2025-12-26,,Robert Johnson,0.0,,,Low,Annual inspection and coating check
WO-24422,B-070,Boiler,Scheduled Inspection,Open,2025-12-22,2025-12-24,,David Kim,0.0,,,Medium,Seal leaking - parts ordered
WO-24934,B-025,Boiler,Corrective,In Progress,2025-12-22,2025-12-23,,Lisa Anderson,9.0,,IMP-195,Medium,Hydraulic cylinder failure - production down
WO-24633,F-034,Forklift,Emergency,Completed,2025-12-22,2025-12-23,2025-12-25,Emily Davis,4.4,7.7,,High,Seal leaking - parts ordered
WO-24357,CP-087,Centrifugal Pump,Preventive,In Progress,2025-12-22,2025-12-26,,Sarah Chen,0.0,,,Low,Routine maintenance and inspection
WO-25556,CP-087,Centrifugal Pump,Preventive,In Progress,2025-12-22,2025-12-23,,Robert Johnson,0.0,,,High,Annual inspection and coating check
WO-24603,B-043,Blower,Corrective,Completed,2025-12-22,2025-12-25,2025-12-26,Jennifer Lee,11.9,20.4,,High,Belt tracking issue - alignment needed
WO-24702,AC-036,Air Compressor,Scheduled Inspection,In Progress,2025-12-21,2025-12-26,,Lisa Anderson,0.0,,,Low,Hydraulic cylinder failure - production down
WO-24979,C-065,Chiller,Preventive,Completed,2025-12-21,2025-12-23,2025-12-24,James Wilson,0.0,2.7,,Medium,Annual inspection and coating check
WO-25424,HP-029,Hydraulic Press,Preventive,Completed,2025-12-21,2025-12-23,2025-12-25,Sarah Chen,0.0,4.1,VAL-811,Low,Routine maintenance and inspection
WO-24042,B-064,Boiler,Corrective,Completed,2025-12-21,2025-12-25,2025-12-26,Maria Garcia,4.8,10.9,HOS-762,High,Unloader valve failure - compressor cycling
WO-24168,B-028,Boiler,Preventive,Scheduled,2025-12-21,2025-12-24,,David Kim,0.0,,,Medium,Annual inspection and coating check
WO-25367,F-034,Forklift,Preventive,In Progress,2025-12-20,2025-12-24,,John Martinez,0.0,,,High,Weekly lubrication and inspection
WO-25605,C-052,Crane,Corrective,Completed,2025-12-20,2025-12-21,2025-12-24,John Martinez,0.0,1.7,,Medium,Pressure relief valve replacement
WO-25512,RA-050,Robotic Arm,Corrective,Completed,2025-12-20,2025-12-22,2025-12-25,David Kim,5.2,9.7,SER-888,Low,Main drive bearing failure - emergency repair
WO-24296,CP-015,Centrifugal Pump,Preventive,Completed,2025-12-20,2025-12-25,2025-12-26,James Wilson,0.0,3.5,,High,Routine maintenance and inspection
WO-25008,HP-088,Hydraulic Press,Preventive,Completed,2025-12-20,2025-12-22,2025-12-22,James Wilson,0.0,1.5,,Medium,Monthly filter replacement
WO-24605,G-047,Gearbox,Corrective,Completed,2025-12-20,2025-12-24,2025-12-26,Maria Garcia,0.0,3.7,IMP-722,High,Bearing seizure - replacement required
WO-24099,C-097,Crane,Scheduled Inspection,Completed,2025-12-20,2025-12-25,2025-12-27,Emily Davis,0.0,2.7,,Low,Bearing seizure - replacement required
WO-25384,F-004,Forklift,Corrective,In Progress,2025-12-20,2025-12-21,,Robert Johnson,2.5,,MOT-504,Medium,Seal leaking - parts ordered
WO-24320,B-038,Boiler,Preventive,Completed,2025-12-20,2025-12-22,2025-12-23,Robert Johnson,0.0,3.5,,Low,Monthly filter replacement
WO-24401,F-040,Forklift,Scheduled Inspection,Cancelled,2025-12-20,2025-12-22,,Lisa Anderson,0.0,,,Medium,Unloader valve failure - compressor cycling
WO-25394,RA-093,Robotic Arm,Preventive,Completed,2025-12-20,2025-12-23,2025-12-26,Sarah Chen,0.0,4.0,BEA-986,Medium,Monthly filter replacement
WO-25073,RA-050,Robotic Arm,Corrective,Completed,2025-12-20,2025-12-24,2025-12-25,Sarah Chen,3.0,7.6,COM-783,High,Belt tracking issue - alignment needed
WO-24110,HS-021,HVAC System,Scheduled Inspection,Completed,2025-12-20,2025-12-21,2025-12-23,Lisa Anderson,0.0,3.7,,Medium,Seal leaking - parts ordered
WO-25123,C-099,Chiller,Corrective,Completed,2025-12-19,2025-12-24,2025-12-24,Sarah Chen,3.0,7.8,COM-574,Low,Motor overheating - thermal relay replaced
WO-24936,B-043,Blower,Preventive,Completed,2025-12-19,2025-12-22,2025-12-24,Robert Johnson,0.0,4.7,BEA-537,Low,Weekly lubrication and inspection
WO-24951,RA-032,Robotic Arm,Preventive,Scheduled,2025-12-19,2025-12-21,,John Martinez,0.0,,,High,Quarterly maintenance cycle
WO-24848,B-070,Boiler,Corrective,Completed,2025-12-19,2025-12-24,2025-12-25,Maria Garcia,0.0,3.8,,Low,Multiple seal failures - contamination issue
WO-24676,C-065,Chiller,Scheduled Inspection,Completed,2025-12-19,2025-12-21,2025-12-21,David Kim,0.0,4.2,,High,Belt tracking issue - alignment needed
WO-25416,F-004,Forklift,Emergency,In Progress,2025-12-19,2025-12-21,,James Wilson,8.8,,,Low,Bearing seizure - replacement required
WO-24310,C-081,Crane,Preventive,Completed,2025-12-19,2025-12-20,2025-12-23,David Kim,0.0,2.8,,High,Annual inspection and coating check
WO-25197,AC-036,Air Compressor,Corrective,Completed,2025-12-19,2025-12-22,2025-12-22,James Wilson,11.6,17.1,COM-706,Low,Multiple seal failures - contamination issue
WO-24770,HP-085,Hydraulic Pump,Preventive,Open,2025-12-19,2025-12-22,,David Kim,0.0,,BEA-944,Medium,Weekly lubrication and inspection
WO-25617,ST-033,Storage Tank,Preventive,Scheduled,2025-12-19,2025-12-20,,Lisa Anderson,0.0,,,Medium,Quarterly maintenance cycle
WO-25355,EM-078,Electric Motor,Preventive,Open,2025-12-19,2025-12-20,,Sarah Chen,0.0,,,Low,Quarterly maintenance cycle
WO-24961,CP-054,Centrifugal Pump,Scheduled Inspection,Completed,2025-12-19,2025-12-21,2025-12-21,Robert Johnson,0.0,2.6,,Medium,Main drive bearing failure - emergency repair
WO-25043,AC-036,Air Compressor,Corrective,Completed,2025-12-19,2025-12-24,2025-12-24,Mike Thompson,0.0,3.0,SER-977,Low,Pressure relief valve replacement
WO-24651,C-053,Chiller,Corrective,Open,2025-12-19,2025-12-24,,Emily Davis,15.4,,,Critical,Main drive bearing failure - emergency repair
WO-24479,RA-093,Robotic Arm,Preventive,Open,2025-12-19,2025-12-20,,Emily Davis,0.0,,SER-242,High,Routine maintenance and inspection
WO-25327,F-040,Forklift,Scheduled Inspection,Completed,2025-12-19,2025-12-24,2025-12-27,Emily Davis,0.0,3.5,,Medium,Unloader valve failure - compressor cycling
WO-24962,B-044,Boiler,Corrective,Completed,2025-12-19,2025-12-24,2025-12-24,Sarah Chen,19.3,27.6,THE-790,Medium,Seal leaking - parts ordered
WO-24100,F-039,Forklift,Preventive,Completed,2025-12-19,2025-12-20,2025-12-22,Robert Johnson,0.0,5.0,,Medium,Quarterly PM - filters and oil change
WO-25640,C-090,Crane,Preventive,Completed,2025-12-19,2025-12-22,2025-12-23,Maria Garcia,0.0,1.1,SER-954,Low,Monthly filter replacement
WO-24485,AC-036,Air Compressor,Preventive,Completed,2025-12-18,2025-12-20,2025-12-23,James Wilson,0.0,4.9,,High,Monthly filter replacement
WO-24906,CB-067,Conveyor Belt,Corrective,Completed,2025-12-18,2025-12-23,2025-12-25,John Martinez,17.0,25.1,,Low,Multiple seal failures - contamination issue
WO-24294,B-025,Boiler,Corrective,Completed,2025-12-18,2025-12-22,2025-12-25,Robert Johnson,10.9,15.6,FAN-507,Critical,Replace mechanical seal - excessive leaking
WO-24923,EM-056,Electric Motor,Preventive,Completed,2025-12-18,2025-12-23,2025-12-23,Mike Thompson,0.0,3.5,FIL-402,Medium,Monthly calibration check
WO-25643,HS-071,HVAC System,Preventive,Completed,2025-12-17,2025-12-19,2025-12-19,Robert Johnson,0.0,4.7,,Medium,Monthly filter replacement
WO-24345,CT-089,Cooling Tower,Preventive,Completed,2025-12-17,2025-12-20,2025-12-20,Mike Thompson,0.0,1.2,MOT-925,High,Quarterly maintenance cycle
WO-25254,G-020,Gearbox,Corrective,In Progress,2025-12-17,2025-12-22,,Robert Johnson,0.0,,BEL-412,Low,Replace mechanical seal - excessive leaking
WO-24612,B-069,Boiler,Preventive,Completed,2025-12-17,2025-12-19,2025-12-21,Jennifer Lee,0.0,1.9,,Medium,Routine maintenance and inspection
WO-25472,AC-014,Air Compressor,Corrective,Open,2025-12-17,2025-12-21,,Lisa Anderson,10.7,,,Low,Replace mechanical seal - excessive leaking
WO-24514,HP-007,Hydraulic Pump,Corrective,Completed,2025-12-17,2025-12-20,2025-12-21,Lisa Anderson,5.0,9.2,FAN-279,Medium,Main drive bearing failure - emergency repair
WO-24171,ST-018,Storage Tank,Corrective,Completed,2025-12-17,2025-12-19,2025-12-20,Sarah Chen,18.8,28.1,,Critical,Seal leaking - parts ordered
WO-24571,CP-086,Centrifugal Pump,Preventive,Completed,2025-12-17,2025-12-19,2025-12-20,James Wilson,0.0,1.1,IMP-738,Critical,Quarterly maintenance cycle
WO-25430,HS-071,HVAC System,Preventive,Completed,2025-12-17,2025-12-22,2025-12-23,John Martinez,0.0,4.3,,Medium,Monthly filter replacement
WO-24043,F-076,Forklift,Corrective,Completed,2025-12-16,2025-12-17,2025-12-18,Lisa Anderson,19.3,27.7,,High,Hydraulic cylinder failure - production down
WO-24671,C-097,Crane,Preventive,Completed,2025-12-16,2025-12-18,2025-12-18,Sarah Chen,0.0,3.7,,Low,Routine maintenance and inspection
WO-25064,C-097,Crane,Scheduled Inspection,Completed,2025-12-16,2025-12-18,2025-12-18,Emily Davis,0.0,1.7,,Low,Main drive bearing failure - emergency repair
WO-24677,B-038,Boiler,Corrective,Completed,2025-12-16,2025-12-19,2025-12-19,Lisa Anderson,11.0,17.8,,High,Belt tracking issue - alignment needed
WO-25212,B-098,Blower,Preventive,Completed,2025-12-16,2025-12-20,2025-12-21,Sarah Chen,0.0,2.6,,Medium,Quarterly PM - filters and oil change
WO-25289,M-030,Mixer,Preventive,Completed,2025-12-16,2025-12-18,2025-12-19,James Wilson,0.0,1.3,,High,Monthly calibration check
WO-24494,C-099,Chiller,Scheduled Inspection,Open,2025-12-16,2025-12-21,,James Wilson,0.0,,,Low,Unloader valve failure - compressor cycling
WO-25669,EM-078,Electric Motor,Preventive,Completed,2025-12-16,2025-12-20,2025-12-23,Mike Thompson,0.0,2.7,,Critical,Monthly calibration check
WO-25727,C-065,Chiller,Preventive,Completed,2025-12-16,2025-12-18,2025-12-20,David Kim,0.0,4.2,,Medium,Annual inspection and coating check
WO-24462,CT-013,Cooling Tower,Preventive,Open,2025-12-16,2025-12-19,,Jennifer Lee,0.0,,,Medium,Quarterly maintenance cycle
WO-25137,F-039,Forklift,Preventive,Completed,2025-12-15,2025-12-20,2025-12-23,Maria Garcia,0.0,3.3,COM-395,Low,Quarterly PM - filters and oil change
WO-25350,M-084,Mixer,Preventive,Scheduled,2025-12-15,2025-12-19,,John Martinez,0.0,,PUM-968,High,Quarterly PM - filters and oil change
WO-25603,CP-087,Centrifugal Pump,Corrective,Completed,2025-12-15,2025-12-20,2025-12-23,Jennifer Lee,7.4,11.5,IMP-788,High,Belt tracking issue - alignment needed
WO-24203,ST-018,Storage Tank,Scheduled Inspection,Open,2025-12-15,2025-12-20,,Lisa Anderson,0.0,,,Low,Multiple seal failures - contamination issue
WO-25228,G-023,Gearbox,Preventive,Completed,2025-12-15,2025-12-17,2025-12-17,David Kim,0.0,4.4,,Critical,Routine maintenance and inspection
WO-25504,C-037,Chiller,Emergency,Completed,2025-12-14,2025-12-18,2025-12-21,Mike Thompson,15.9,23.5,,Medium,Hydraulic cylinder failure - production down
WO-25127,RA-060,Robotic Arm,Corrective,Scheduled,2025-12-14,2025-12-19,,Lisa Anderson,10.8,,VAL-662,Medium,Main drive bearing failure - emergency repair
WO-24172,B-070,Boiler,Corrective,In Progress,2025-12-14,2025-12-17,,Emily Davis,0.0,,FIL-632,Low,Belt tracking issue - alignment needed
WO-24007,B-077,Boiler,Scheduled Inspection,In Progress,2025-12-14,2025-12-18,,David Kim,0.0,,,Medium,Unloader valve failure - compressor cycling
WO-25594,C-090,Crane,Preventive,Completed,2025-12-14,2025-12-18,2025-12-19,David Kim,0.0,3.2,VAL-615,Medium,Monthly calibration check
WO-25252,M-003,Mixer,Preventive,In Progress,2025-12-14,2025-12-19,,John Martinez,0.0,,,Medium,Routine maintenance and inspection
WO-25343,EM-056,Electric Motor,Preventive,In Progress,2025-12-14,2025-12-15,,James Wilson,0.0,,,Medium,Weekly lubrication and inspection
WO-25219,EM-056,Electric Motor,Corrective,Completed,2025-12-14,2025-12-19,2025-12-19,Emily Davis,17.9,27.2,,Medium,Main drive bearing failure - emergency repair
WO-25256,B-028,Boiler,Preventive,Completed,2025-12-14,2025-12-17,2025-12-18,John Martinez,0.0,3.2,,Medium,Monthly calibration check
WO-24225,EM-068,Electric Motor,Preventive,In Progress,2025-12-14,2025-12-15,,Maria Garcia,0.0,,,Medium,Quarterly PM - filters and oil change
WO-24857,B-098,Blower,Corrective,Cancelled,2025-12-13,2025-12-16,,Jennifer Lee,13.1,,,Low,Bearing seizure - replacement required
WO-24678,HP-007,Hydraulic Pump,Preventive,Completed,2025-12-13,2025-12-15,2025-12-18,David Kim,0.0,4.8,,Critical,Quarterly PM - filters and oil change
WO-24912,B-044,Boiler,Preventive,Completed,2025-12-13,2025-12-16,2025-12-17,James Wilson,0.0,2.4,COI-807,Low,Monthly calibration check
WO-24300,AC-036,Air Compressor,Corrective,Completed,2025-12-13,2025-12-16,2025-12-19,Jennifer Lee,10.5,15.3,,Critical,Multiple seal failures - contamination issue
WO-25399,CT-005,Cooling Tower,Corrective,Completed,2025-12-13,2025-12-18,2025-12-18,James Wilson,0.0,2.6,,High,Belt tracking issue - alignment needed
WO-25401,F-004,Forklift,Corrective,Completed,2025-12-13,2025-12-15,2025-12-16,David Kim,18.8,27.7,MOT-929,Medium,Motor overheating - thermal relay replaced
WO-25071,ST-033,Storage Tank,Scheduled Inspection,Completed,2025-12-13,2025-12-17,2025-12-19,Jennifer Lee,0.0,3.5,,Medium,Multiple seal failures - contamination issue
WO-25406,HP-088,Hydraulic Press,Preventive,Completed,2025-12-13,2025-12-15,2025-12-17,Lisa Anderson,0.0,1.1,,Medium,Annual inspection and coating check
WO-24407,CT-013,Cooling Tower,Preventive,Completed,2025-12-12,2025-12-14,2025-12-17,James Wilson,0.0,3.8,,Low,Monthly filter replacement
WO-24064,M-061,Mixer,Preventive,Open,2025-12-12,2025-12-15,,Jennifer Lee,0.0,,,Medium,Routine maintenance and inspection
WO-24657,C-065,Chiller,Preventive,Open,2025-12-12,2025-12-16,,Emily Davis,0.0,,,Low,Weekly lubrication and inspection
WO-24880,RA-072,Robotic Arm,Preventive,Completed,2025-12-12,2025-12-14,2025-12-16,Robert Johnson,0.0,1.7,VAL-733,High,Annual inspection and coating check
WO-24030,C-090,Crane,Preventive,Open,2025-12-12,2025-12-17,,Emily Davis,0.0,,SEA-942,Low,Monthly filter replacement
WO-25581,CP-042,Centrifugal Pump,Preventive,Scheduled,2025-12-12,2025-12-17,,Lisa Anderson,0.0,,,Low,Weekly lubrication and inspection
WO-24185,CP-087,Centrifugal Pump,Corrective,In Progress,2025-12-12,2025-12-14,,Lisa Anderson,0.0,,SER-426,Low,Hydraulic cylinder failure - production down
WO-25668,M-041,Mixer,Corrective,Completed,2025-12-12,2025-12-14,2025-12-16,John Martinez,2.5,5.3,PUM-505,Low,Unloader valve failure - compressor cycling
WO-24862,HS-071,HVAC System,Corrective,Scheduled,2025-12-12,2025-12-17,,Robert Johnson,1.6,,BEA-627,Critical,Replace mechanical seal - excessive leaking
WO-24869,RA-074,Robotic Arm,Preventive,In Progress,2025-12-11,2025-12-14,,Emily Davis,0.0,,,Low,Monthly calibration check
WO-24315,M-003,Mixer,Corrective,Completed,2025-12-11,2025-12-15,2025-12-17,Jennifer Lee,8.6,12.8,,High,Pressure relief valve replacement
WO-25102,M-003,Mixer,Preventive,Scheduled,2025-12-11,2025-12-16,,Mike Thompson,0.0,,,Medium,Routine maintenance and inspection
WO-24177,M-059,Mixer,Preventive,Completed,2025-12-11,2025-12-14,2025-12-16,John Martinez,0.0,1.2,,Low,Routine maintenance and inspection
WO-25024,HP-007,Hydraulic Pump,Corrective,Completed,2025-12-11,2025-12-12,2025-12-13,Mike Thompson,0.0,3.6,,High,Motor overheating - thermal relay replaced
WO-24484,CP-008,Centrifugal Pump,Scheduled Inspection,Completed,2025-12-11,2025-12-12,2025-12-15,Emily Davis,0.0,1.7,,Low,Seal leaking - parts ordered
WO-25194,B-016,Blower,Preventive,Completed,2025-12-11,2025-12-13,2025-12-14,Mike Thompson,0.0,3.9,,Low,Annual inspection and coating check
WO-25081,F-076,Forklift,Corrective,Completed,2025-12-11,2025-12-15,2025-12-16,David Kim,2.3,6.3,HOS-762,Medium,Replace mechanical seal - excessive leaking
WO-25259,CT-013,Cooling Tower,Preventive,In Progress,2025-12-10,2025-12-14,,Robert Johnson,0.0,,,Low,Monthly filter replacement
WO-24748,HP-088,Hydraulic Press,Corrective,Completed,2025-12-10,2025-12-12,2025-12-13,John Martinez,15.4,23.9,,Medium,Hydraulic cylinder failure - production down
WO-24624,RA-074,Robotic Arm,Preventive,Completed,2025-12-10,2025-12-14,2025-12-17,Robert Johnson,0.0,3.6,,Critical,Routine maintenance and inspection
WO-25357,F-039,Forklift,Corrective,In Progress,2025-12-10,2025-12-11,,Mike Thompson,18.8,,IMP-668,High,Main drive bearing failure - emergency repair
WO-24588,CP-049,Centrifugal Pump,Scheduled Inspection,Open,2025-12-10,2025-12-13,,David Kim,0.0,,,Medium,Multiple seal failures - contamination issue
WO-24891,C-052,Crane,Corrective,Completed,2025-12-10,2025-12-14,2025-12-16,Emily Davis,2.9,6.3,,High,Multiple seal failures - contamination issue
WO-24782,CT-005,Cooling Tower,Scheduled Inspection,Completed,2025-12-10,2025-12-15,2025-12-18,Mike Thompson,0.0,4.5,,Medium,Hydraulic cylinder failure - production down
WO-25458,C-053,Chiller,Corrective,Completed,2025-12-10,2025-12-13,2025-12-15,John Martinez,18.8,28.4,COM-352,Critical,Seal leaking - parts ordered
WO-25622,G-047,Gearbox,Corrective,Completed,2025-12-10,2025-12-13,2025-12-16,James Wilson,0.0,4.4,,Low,Main drive bearing failure - emergency repair
WO-24829,M-061,Mixer,Preventive,Scheduled,2025-12-10,2025-12-13,,Emily Davis,0.0,,,Medium,Routine maintenance and inspection
WO-25520,CP-086,Centrifugal Pump,Preventive,Completed,2025-12-10,2025-12-15,2025-12-16,Lisa Anderson,0.0,3.4,,High,Quarterly PM - filters and oil change
WO-24455,M-030,Mixer,Preventive,Completed,2025-12-10,2025-12-15,2025-12-15,James Wilson,0.0,2.1,FAN-526,Low,Monthly calibration check
WO-24012,EM-078,Electric Motor,Corrective,In Progress,2025-12-09,2025-12-10,,Maria Garcia,17.7,,,High,Belt tracking issue - alignment needed
WO-24352,HP-100,Hydraulic Pump,Corrective,Completed,2025-12-09,2025-12-12,2025-12-14,Lisa Anderson,5.1,9.4,CYL-845,High,Bearing seizure - replacement required
WO-24000,B-043,Blower,Emergency,Open,2025-12-09,2025-12-11,,Robert Johnson,19.8,,,Medium,Seal leaking - parts ordered
WO-25521,F-039,Forklift,Corrective,Completed,2025-12-09,2025-12-12,2025-12-13,Robert Johnson,0.0,4.1,,Medium,Main drive bearing failure - emergency repair
WO-25503,C-052,Crane,Corrective,Completed,2025-12-09,2025-12-12,2025-12-15,Jennifer Lee,0.0,4.7,,Medium,Belt tracking issue - alignment needed
WO-24811,C-027,Chiller,Preventive,Completed,2025-12-09,2025-12-13,2025-12-15,Jennifer Lee,0.0,3.2,,High,Routine maintenance and inspection
WO-24432,M-061,Mixer,Scheduled Inspection,Completed,2025-12-09,2025-12-13,2025-12-16,Maria Garcia,0.0,3.1,,Medium,Main drive bearing failure - emergency repair
WO-24722,G-023,Gearbox,Corrective,Completed,2025-12-08,2025-12-10,2025-12-11,David Kim,0.0,2.5,MOT-836,Low,Seal leaking - parts ordered
WO-24150,HP-100,Hydraulic Pump,Emergency,Completed,2025-12-08,2025-12-11,2025-12-13,James Wilson,18.9,28.2,,High,Motor overheating - thermal relay replaced
WO-24321,AC-001,Air Compressor,Corrective,Completed,2025-12-08,2025-12-12,2025-12-14,Robert Johnson,6.7,10.3,ENC-695,Critical,Seal leaking - parts ordered
